,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0,0,0,0,49,0,0
bcc,0,0,1,0,76,0,0
bkl,0,0,0,0,164,0,1
df,0,0,0,0,17,0,0
mel,0,0,2,0,164,1,0
nv,1,0,0,0,967,37,1
vasc,0,0,0,0,22,0,0
