accuracy,loss,val_accuracy,val_loss,learning_rate,phase
0.41340941190719604,2.025801658630371,0.5412783026695251,1.1744723320007324,0.0010000000474974513,head
0.5049928426742554,1.4778058528900146,0.6218375563621521,1.115596055984497,0.0010000000474974513,head
0.5506419539451599,1.3190160989761353,0.5605858564376831,1.305272102355957,0.0010000000474974513,head
0.569614827632904,1.2252675294876099,0.621171772480011,1.1208992004394531,0.0010000000474974513,head
0.6154065728187561,1.0221920013427734,0.6684420704841614,1.003581166267395,0.0005000000237487257,head
0.6112695932388306,1.0055118799209595,0.6418108940124512,1.0674437284469604,0.0005000000237487257,head
0.6319543719291687,0.9606940150260925,0.7137150168418884,0.9094870686531067,0.0005000000237487257,head
0.6514978408813477,0.9568819999694824,0.6797603368759155,0.958436906337738,0.0005000000237487257,head
0.6530670523643494,0.9196476936340332,0.6704394221305847,0.9844926595687866,0.0005000000237487257,head
0.6643366813659668,0.8727158904075623,0.6777629852294922,0.9692005515098572,0.0002500000118743628,head
0.6637660264968872,0.9035717844963074,0.712383508682251,0.8966091275215149,9.999999747378752e-05,finetune
0.6730385422706604,0.8520717024803162,0.7263648509979248,0.8687516450881958,9.999999747378752e-05,finetune
0.701283872127533,0.7830349802970886,0.7336884140968323,0.9142760634422302,9.999999747378752e-05,finetune
0.7044222354888916,0.7671328783035278,0.7256990671157837,0.9019142985343933,9.999999747378752e-05,finetune
0.7281026840209961,0.7176027297973633,0.7263648509979248,0.8584107756614685,4.999999873689376e-05,finetune
0.7402282357215881,0.6861457824707031,0.7050599455833435,0.8744540214538574,4.999999873689376e-05,finetune
0.7540656328201294,0.6515628695487976,0.7203728556632996,0.8603301048278809,4.999999873689376e-05,finetune
0.7536376714706421,0.64506596326828,0.7243674993515015,0.8487153649330139,2.499999936844688e-05,finetune
0.7597717642784119,0.6394976377487183,0.712383508682251,0.85286545753479,2.499999936844688e-05,finetune
0.7589158415794373,0.6448006629943848,0.7177097201347351,0.8665028810501099,2.499999936844688e-05,finetune
0.7697575092315674,0.6121554374694824,0.7250332832336426,0.8487922549247742,1.249999968422344e-05,finetune
0.7737517952919006,0.616637110710144,0.7343541979789734,0.8395128846168518,1.249999968422344e-05,finetune
0.7737517952919006,0.6156246662139893,0.7296937704086304,0.839287519454956,1.249999968422344e-05,finetune
0.7716119885444641,0.6029943227767944,0.7350199818611145,0.8406867980957031,1.249999968422344e-05,finetune
0.7726105451583862,0.6082424521446228,0.7296937704086304,0.8433428406715393,1.249999968422344e-05,finetune
0.774465024471283,0.5939430594444275,0.7330226302146912,0.8471879363059998,6.24999984211172e-06,finetune
0.7753209471702576,0.6030182242393494,0.7237017154693604,0.8514701724052429,6.24999984211172e-06,finetune
