,akiec,bcc,bkl,df,mel,nv,vasc
akiec,27,4,9,0,9,0,0
bcc,3,49,11,2,12,0,0
bkl,1,5,127,1,20,11,0
df,1,2,3,6,1,4,0
mel,2,2,32,0,117,14,0
nv,3,11,78,4,163,747,0
vasc,0,1,1,0,2,2,16
