,akiec,bcc,bkl,df,mel,nv,vasc
akiec,26,4,9,0,10,0,0
bcc,3,49,11,2,12,0,0
bkl,1,5,123,1,25,10,0
df,1,2,3,6,1,4,0
mel,1,2,28,0,125,11,0
nv,3,11,73,4,201,714,0
vasc,0,1,1,0,2,2,16
