threshold,score,recall_melanoma,precision_melanoma,f1_melanoma,recall_macro,f1_macro,accuracy
0.1,0.713109162752371,0.9221556886227545,0.2326283987915408,0.3715319662243667,0.6007023126355611,0.5938493290413219,0.5985352862849534
0.11,0.7165895352760564,0.9041916167664671,0.2370486656200942,0.3756218905472637,0.6235065562896723,0.6104442226634944,0.607190412782956
0.12,0.7164411802196017,0.8922155688622755,0.2403225806451613,0.3786531130876747,0.6304942387225206,0.6172613798282828,0.6138482023968043
0.13,0.7200541711198315,0.8862275449101796,0.24749163879598662,0.3869281045751634,0.6372431497497821,0.6201936792813701,0.6238348868175766
0.14,0.7246406715847795,0.8802395209580839,0.2552083333333333,0.39569313593539707,0.645705343234433,0.6246636455316813,0.6338215712383488
0.15,0.7158446893197113,0.8622754491017964,0.25396825396825395,0.3923705722070845,0.6445728685695002,0.6244205452327065,0.6351531291611185
0.16,0.7241309464425258,0.8622754491017964,0.2585278276481149,0.39779005524861877,0.6600381473974603,0.6343230021923081,0.6418109187749668
0.17,0.7209927802752746,0.8502994011976048,0.26055045871559634,0.398876404494382,0.6626241982732423,0.636019777621432,0.6458055925432756
0.18,0.7200833965133905,0.844311377245509,0.26256983240223464,0.4005681818181818,0.6634865978189908,0.6372380239077972,0.6498002663115846
0.19,0.7108215251973277,0.8263473053892215,0.2623574144486692,0.39826839826839827,0.6623541231540582,0.6332815768641192,0.6511318242343542
0.2,0.7105344197523022,0.8203592814371258,0.26601941747572816,0.40175953079178883,0.6632165226998067,0.6340322036051615,0.6551264980026631
0.21,0.7101852493338038,0.8143712574850299,0.2693069306930693,0.40476190476190477,0.6642209273577393,0.6348287364355022,0.6597869507323568
0.22,0.712284595689033,0.8143712574850299,0.2725450901803607,0.4084084084084084,0.6655127435600924,0.6352987354791965,0.6624500665778962
0.23,0.714712427349836,0.8143712574850299,0.27586206896551724,0.4121212121212121,0.6669465648746293,0.6365608853347273,0.6657789613848203
0.24,0.7153557139397445,0.8083832335329342,0.28125,0.41731066460587324,0.6686747652861788,0.6369674575249474,0.670439414114514
0.25,0.7127863618723127,0.8023952095808383,0.28210526315789475,0.4174454828660436,0.6679613384052062,0.6364997601895606,0.670439414114514
0.26,0.7170686250485535,0.8023952095808383,0.28879310344827586,0.4247226624405705,0.6692393844148626,0.6381714593031272,0.6764314247669774
0.27,0.7123379615954125,0.7904191616766467,0.2894736842105263,0.42375601926163725,0.6691043468552705,0.6386234300555154,0.6790945406125166
0.28,0.7119332480010274,0.7844311377245509,0.2930648769574944,0.42671009771986973,0.6704065319302679,0.6392118774489912,0.681757656458056
0.29,0.7118377006292631,0.7784431137724551,0.2981651376146789,0.4311774461028192,0.6708429161394643,0.6392796197717552,0.6837549933422103
0.3,0.7140404350222245,0.7784431137724551,0.3037383177570093,0.4369747899159664,0.6732845434319863,0.6409703221241282,0.6884154460719041
0.31,0.7111061671716494,0.7724550898203593,0.30641330166270786,0.4387755102040816,0.6735789225289986,0.6392435673888823,0.6897470039946738
0.32,0.7089132973778572,0.7664670658682635,0.3137254901960784,0.44521739130434784,0.6745833271869311,0.6385828265092629,0.6944074567243675
0.33,0.703544544523289,0.7544910179640718,0.3157894736842105,0.4452296819787986,0.6735824887615384,0.6386664373051872,0.6964047936085219
0.34,0.6976244187503526,0.7425149700598802,0.3155216284987277,0.44285714285714284,0.6721556349995933,0.6376843034505427,0.6964047936085219
0.35,0.6965818289646354,0.7365269461077845,0.32114882506527415,0.44727272727272727,0.6749256804624008,0.6407447931284305,0.699733688415446
0.36,0.6952638907036681,0.7305389221556886,0.32360742705570295,0.4485294117647059,0.677553720813024,0.6430838045796196,0.7023968042609854
0.37,0.6899848542904158,0.718562874251497,0.3252032520325203,0.44776119402985076,0.6766948874998152,0.6431463654665068,0.7050599201065246
0.38,0.6914310430206853,0.718562874251497,0.32967032967032966,0.4519774011299435,0.6796999861595575,0.645461795121575,0.7077230359520639
0.39,0.6886029113572634,0.7125748502994012,0.33147632311977715,0.4524714828897338,0.679128564390769,0.6451185374121368,0.7083888149134487
0.4,0.6856600524544642,0.7065868263473054,0.3323943661971831,0.4521072796934866,0.6784151375097965,0.6446962864194903,0.7083888149134487
0.41,0.6874794071392201,0.7065868263473054,0.34202898550724636,0.4609375,0.6811407750266865,0.6473963908840162,0.7143808255659121
0.42,0.6847246775360206,0.7005988023952096,0.34210526315789475,0.45972495088408644,0.680569353257898,0.6473467414154678,0.715046604527297
0.43,0.6870491631454176,0.7005988023952096,0.35135135135135137,0.468,0.6847425822820217,0.650909296372772,0.7210386151797603
0.44,0.6852286966978871,0.6946107784431138,0.3547400611620795,0.46963562753036436,0.6860447673570189,0.6522988792982085,0.7237017310252996
0.45,0.6793791640416286,0.6826347305389222,0.35294117647058826,0.46530612244897956,0.684617913595074,0.6515991179102754,0.7237017310252996
0.46,0.6799896828551886,0.6826347305389222,0.3573667711598746,0.4691358024691358,0.6851859340438101,0.6525215304673105,0.7263648468708389
0.47,0.6802956319867473,0.6826347305389222,0.35962145110410093,0.47107438016528924,0.6854699442681783,0.6529854956449429,0.7276964047936085
0.48,0.6776928672722244,0.6766467065868264,0.3610223642172524,0.4708333333333333,0.6850405276115737,0.6531637900568,0.7290279627163782
0.49,0.6718387863657997,0.6646706586826348,0.3592233009708738,0.46638655462184875,0.6836136738496288,0.6524458356682022,0.7290279627163782
0.5,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.51,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.52,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.53,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.54,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.55,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.56,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.57,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.58,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.59,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.6,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.61,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.62,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.63,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.64,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.65,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.66,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.67,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.68,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.69,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.7,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.71,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.72,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.73,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.74,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.75,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.76,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.77,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.78,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.79,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.8,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.81,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.82,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.83,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.84,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.85,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.86,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.87,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.88,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.89,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
0.9,0.6719920331003617,0.6646706586826348,0.36038961038961037,0.4673684210526316,0.6837556789618128,0.652678906932149,0.729693741677763
