,akiec,bcc,bkl,df,mel,nv,vasc
akiec,24,3,9,1,6,6,0
bcc,5,40,8,3,5,16,0
bkl,1,3,127,2,8,24,0
df,1,0,3,6,1,6,0
mel,2,1,35,0,79,50,0
nv,0,3,44,3,33,922,1
vasc,1,1,0,0,0,6,14
