accuracy,loss,val_accuracy,val_loss,learning_rate,phase
0.6378031373023987,1.0780138969421387,0.6977363228797913,0.5306848883628845,0.0010000000474974513,head
0.6891583204269409,0.698733389377594,0.7483355402946472,0.4454681873321533,0.0010000000474974513,head
0.7245363593101501,0.5549290180206299,0.7603195905685425,0.4090891480445862,0.0010000000474974513,head
0.7283880114555359,0.5130048394203186,0.7616511583328247,0.4039744436740875,0.0010000000474974513,head
0.7432239651679993,0.4687384068965912,0.7683089375495911,0.3955460786819458,0.0010000000474974513,head
0.7459343671798706,0.4583502411842346,0.7649800181388855,0.3760126829147339,0.0010000000474974513,head
0.7532097101211548,0.44661062955856323,0.7782955765724182,0.39378002285957336,0.0010000000474974513,head
0.7590584754943848,0.44080325961112976,0.7703062295913696,0.3981549143791199,0.0010000000474974513,head
0.7589158415794373,0.4316176474094391,0.7756325006484985,0.3876459002494812,0.0010000000474974513,head
0.7767475247383118,0.3963475525379181,0.762316882610321,0.3587696850299835,0.0005000000237487257,head
0.7891583442687988,0.3603428900241852,0.7982689738273621,0.32924944162368774,9.999999747378752e-05,finetune
0.8077032566070557,0.32606276869773865,0.7949400544166565,0.31867218017578125,9.999999747378752e-05,finetune
0.8192582130432129,0.29238173365592957,0.8042609691619873,0.3049134612083435,9.999999747378752e-05,finetune
0.8135520815849304,0.30889856815338135,0.8029294013977051,0.29799649119377136,9.999999747378752e-05,finetune
0.8310984373092651,0.27098503708839417,0.8042609691619873,0.29714325070381165,9.999999747378752e-05,finetune
0.8400855660438538,0.2531264126300812,0.8102530241012573,0.3124121129512787,9.999999747378752e-05,finetune
0.8472182750701904,0.2486102133989334,0.8155792355537415,0.30863821506500244,9.999999747378752e-05,finetune
0.8509272336959839,0.2317180186510086,0.8015978932380676,0.2959347069263458,9.999999747378752e-05,finetune
0.8485021591186523,0.22632654011249542,0.8229027986526489,0.27885717153549194,9.999999747378752e-05,finetune
0.8577746152877808,0.21929313242435455,0.7949400544166565,0.29803526401519775,9.999999747378752e-05,finetune
0.8674750328063965,0.2087569534778595,0.812916100025177,0.27608174085617065,9.999999747378752e-05,finetune
0.8609129786491394,0.20852085947990417,0.8089214563369751,0.29595479369163513,9.999999747378752e-05,finetune
