,akiec,bcc,bkl,df,mel,nv,vasc
akiec,22,3,7,1,13,3,0
bcc,5,37,6,3,15,11,0
bkl,1,2,117,2,24,19,0
df,1,0,3,6,3,4,0
mel,0,0,13,0,138,16,0
nv,0,3,29,3,193,777,1
vasc,0,1,0,0,1,6,14
