threshold,score,recall_melanoma,precision_melanoma,f1_melanoma,recall_macro,f1_macro,accuracy
0.1,0.7361459967579241,0.9341317365269461,0.24336973478939158,0.38613861386138615,0.5628222918571345,0.5739579925267807,0.6271637816245007
0.11,0.738695169130135,0.9221556886227545,0.250814332247557,0.39436619718309857,0.5708733879593934,0.5822762938757419,0.6398135818908123
0.12,0.7385084311272822,0.9041916167664671,0.2563667232597623,0.3994708994708995,0.5866484575984906,0.5969836301415077,0.6504660452729694
0.13,0.741136990425878,0.9041916167664671,0.2649122807017544,0.4097693351424695,0.5925211988873068,0.5990713121210824,0.6597869507323568
0.14,0.7325467734510243,0.8802395209580839,0.26824817518248173,0.4111888111888112,0.595572322119142,0.6024538906611963,0.6671105193075899
0.15,0.7269105922730645,0.8622754491017964,0.2727272727272727,0.4143884892086331,0.600592049885878,0.6052992856471932,0.6744340878828229
0.16,0.7301676022077226,0.8622754491017964,0.2829076620825147,0.4260355029585799,0.6060250056454455,0.6097199754253086,0.6850865512649801
0.17,0.7327618689675366,0.8562874251497006,0.2966804979253112,0.4406779661016949,0.6155335932628699,0.617942383793318,0.6984021304926764
0.18,0.7319713385248343,0.8502994011976048,0.3034188034188034,0.44724409448818897,0.61853529060256,0.6207605430035452,0.7043941411451398
0.19,0.7326722905008878,0.844311377245509,0.31333333333333335,0.45705024311183146,0.6240309735822572,0.626217885454018,0.7137150466045273
0.2,0.725334777501124,0.8263473053892215,0.3187066974595843,0.46,0.6237505295904289,0.6272970253133117,0.7190412782956058
0.21,0.7267550704821744,0.8203592814371258,0.33171912832929784,0.4724137931034483,0.6305720678457524,0.6345710475632719,0.7283621837549934
0.22,0.7284192131018637,0.8143712574850299,0.33915211970074816,0.4788732394366197,0.63939804320679,0.6425484766059865,0.7343541944074568
0.23,0.7269864164390376,0.8083832335329342,0.3515625,0.4900181488203267,0.6406864580890907,0.6441681969016285,0.7403462050599201
0.24,0.7140307285734384,0.7784431137724551,0.35714285714285715,0.4896421845574388,0.6399686470390896,0.6446814171716628,0.7456724367509987
0.25,0.7168654147330481,0.7784431137724551,0.37681159420289856,0.5078125,0.6441281058705167,0.6489642325612053,0.7549933422103862
0.26,0.71414135972096,0.7664670658682635,0.3902439024390244,0.5171717171717172,0.6477605508790727,0.65378951530346,0.7623169107856191
0.27,0.6970936545708603,0.7305389221556886,0.391025641025641,0.5093945720250522,0.6443457904590384,0.6527348501371694,0.762982689747004
0.28,0.6959179366539286,0.7245508982035929,0.40468227424749165,0.51931330472103,0.6457762104535231,0.6550029697420883,0.7696404793608522
